fire_fly_id,referrer_type_value,percentbyref
3162807,Search Engines,0.09523809523809523
3162807,Social Networks,0.047619047619047616
3162807,Typed/Bookmarked,0.7619047619047619
3162856,Social Networks,1
3162894,Inside Your Site,0.08163265306122448
3162894,Search Engines,0.036734693877551024
3162894,Social Networks,0.8979591836734694
3162894,Typed/Bookmarked,0.4489795918367347
3162933,Inside Your Site,1
3162933,Search Engines,0.5
3162933,Typed/Bookmarked,1
3162981,Inside Your Site,0.38620689655172413
3162981,Search Engines,0.06551724137931035
3162981,Social Networks,0.010344827586206896
3162981,Typed/Bookmarked,0.9689655172413794
3163064,Inside Your Site,1
3163085,Inside Your Site,0.39631336405529954
3163085,No JavaScript,0.004608294930875576
3163085,Other Web Sites,0.0030721966205837174
3163085,Search Engines,0.021505376344086023
3163085,Social Networks,0.21505376344086022
3163085,Typed/Bookmarked,0.9938556067588326
3163135,Inside Your Site,0.11785714285714285
3163135,Other Web Sites,0.0035714285714285713
3163135,Search Engines,0.03214285714285714
3163135,Social Networks,0.6178571428571429
3163135,Typed/Bookmarked,0.575
3163136,Inside Your Site,1
3163345,Inside Your Site,1
3163345,Typed/Bookmarked,1
3163496,Inside Your Site,0.06859205776173286
3163496,Other Web Sites,0.039711191335740074
3163496,Search Engines,0.02527075812274368
3163496,Social Networks,0.30685920577617326
3163496,Typed/Bookmarked,0.8194945848375451
3163541,Inside Your Site,0.11458333333333333
3163541,Search Engines,0.020833333333333332
3163541,Social Networks,0.010416666666666666
3163541,Typed/Bookmarked,0.9791666666666666
3163622,Typed/Bookmarked,1
3163666,Inside Your Site,0.47058823529411764
3163666,Typed/Bookmarked,0.8235294117647058
3163789,Inside Your Site,0.4375
3163789,Search Engines,0.09375
3163789,Typed/Bookmarked,0.96875
3163897,Inside Your Site,0.47058823529411764
3163897,Other Web Sites,0.058823529411764705
3163897,Search Engines,0.2647058823529412
3163897,Social Networks,0.058823529411764705
3163897,Typed/Bookmarked,0.7647058823529411
3163930,Inside Your Site,0.5081967213114754
3163930,Other Web Sites,0.00546448087431694
